Date,Open,High,Low,Close,Volume
2014-12-03,1969.57,1973.96,1964.77,1969.91,271111000
2014-12-04,1976.3,1988.56,1976.1,1986.61,244390000
2014-12-05,1986.6,1989.17,1983.36,1986.62,305547000
2014-12-08,1988.8,1990.04,1976.89,1978.95,295138000
2014-12-09,1977.05,1977.15,1968.85,1970.95,541161000
2014-12-10,1964.04,1966.11,1943.27,1945.56,367889000
2014-12-11,1930.46,1937.23,1916.49,1916.59,343634000
2014-12-12,1921.61,1926.67,1915.0,1921.71,363470000
2014-12-15,1903.12,1920.43,1899.61,1920.36,294421000
2014-12-16,1909.01,1919.6,1901.13,1904.13,369417000
2014-12-17,1913.28,1913.28,1900.16,1900.16,307268000
2014-12-18,1917.67,1919.24,1881.73,1897.5,337298000
2014-12-19,1920.75,1930.08,1914.27,1929.98,291791000
2014-12-22,1938.16,1944.2,1928.89,1943.12,324534000
2014-12-23,1942.12,1944.75,1936.75,1939.02,300797000
2014-12-24,1940.76,1947.35,1936.74,1946.61,283866000
2014-12-26,1947.6,1954.77,1944.22,1948.16,297006000
2014-12-29,1937.27,1941.33,1927.83,1927.86,265809000
2014-12-30,1934.51,1937.55,1910.78,1915.59,256436000
2015-01-02,1914.24,1929.15,1909.67,1926.44,258775000
2015-01-05,1921.96,1921.96,1903.37,1915.75,313442000
2015-01-06,1895.48,1900.02,1877.38,1882.45,303687000
2015-01-07,1878.9,1887.6,1876.27,1883.83,280509000
2015-01-08,1895.85,1907.23,1891.77,1904.65,262207000
2015-01-09,1919.8,1929.1,1915.85,1924.7,308780000
2015-01-12,1918.18,1924.66,1917.88,1920.95,311915000
2015-01-13,1915.03,1920.77,1910.27,1917.14,338989000
2015-01-14,1919.31,1925.68,1913.51,1913.66,297516000
2015-01-15,1914.06,1919.69,1908.6,1914.14,266544000
2015-01-16,1907.07,1907.07,1885.62,1888.13,298732000
2015-01-19,1902.81,1912.42,1900.26,1902.62,281120000
2015-01-20,1908.62,1918.85,1907.97,1918.31,280894000
2015-01-21,1917.33,1921.88,1909.86,1921.23,300843000
2015-01-22,1926.01,1932.5,1916.56,1920.82,343131000
2015-01-23,1945.36,1945.36,1930.65,1936.09,367702000
2015-01-26,1928.26,1936.4,1924.14,1935.68,330607000
2015-01-27,1941.9,1952.41,1940.72,1952.4,466961000
2015-01-28,1946.71,1963.53,1943.59,1961.58,400930000
2015-01-29,1950.83,1960.12,1946.2,1951.02,391034000
2015-01-30,1964.13,1964.13,1948.6,1949.26,441477000
2015-02-02,1947.91,1956.1,1944.58,1952.68,364831000
2015-02-03,1960.11,1960.35,1940.74,1951.96,369978000
2015-02-04,1963.37,1970.27,1961.57,1962.79,348031000
2015-02-05,1961.15,1962.15,1945.42,1952.84,395652000
2015-02-06,1955.13,1955.52,1945.82,1955.52,309817000
2015-02-09,1949.5,1952.86,1944.79,1947.0,310181000
2015-02-10,1949.3,1954.2,1935.86,1935.86,329202000
2015-02-11,1942.34,1948.89,1937.95,1945.7,307454000
2015-02-12,1947.21,1947.47,1932.75,1941.63,334824000
2015-02-13,1949.32,1957.5,1946.94,1957.5,351080000
2015-02-16,1960.03,1963.44,1955.39,1958.23,350943000
2015-02-17,1955.77,1962.97,1952.33,1961.45,304531000
2015-02-23,1974.44,1976.96,1966.77,1968.39,347580000
2015-02-24,1975.65,1980.38,1972.61,1976.12,309543000
2015-02-25,1988.47,1992.03,1984.53,1990.47,369497000
2015-02-26,1993.27,1993.43,1983.94,1993.08,385656000
2015-02-27,1992.76,1993.34,1982.5,1985.8,424547000
2015-03-02,1996.72,1999.13,1988.33,1996.81,373365000
2015-03-03,2002.5,2003.05,1995.93,2001.38,444865000
2015-03-04,2001.76,2003.85,1996.5,1998.29,374540000
2015-03-05,1996.81,2002.48,1993.92,1998.38,373682000
2015-03-06,2003.97,2013.73,2003.18,2012.94,393346000
2015-03-09,2004.94,2005.81,1990.87,1992.82,296746000
2015-03-10,2000.66,2003.19,1982.22,1984.77,433405000
2015-03-11,1971.04,1984.6,1969.13,1980.83,399532000
2015-03-12,1979.22,1988.77,1970.59,1970.59,384041000
2015-03-13,1987.17,1991.87,1982.96,1985.79,326706000
2015-03-16,1985.59,1991.79,1982.26,1987.33,319163000
2015-03-17,1998.26,2029.91,1997.27,2029.91,356554000
2015-03-18,2032.19,2036.13,2026.72,2028.45,362009000
2015-03-19,2047.13,2047.13,2031.07,2037.89,468284000
2015-03-20,2037.13,2040.0,2027.81,2037.24,351731000
2015-03-23,2043.22,2043.92,2032.35,2036.59,314897000
2015-03-24,2035.08,2041.77,2028.54,2041.37,328833000
2015-03-25,2043.16,2046.97,2038.14,2042.81,423409000
2015-03-26,2027.2,2036.7,2019.51,2022.56,342260000
2015-03-27,2026.75,2027.25,2016.88,2019.8,448964000
2015-03-30,2026.6,2033.27,2018.12,2030.04,439556000
2015-03-31,2042.31,2046.9,2032.24,2041.03,555933000
2015-04-01,2035.4,2039.04,2024.64,2028.45,542801000
2015-04-02,2036.9,2040.45,2028.22,2029.07,655863000
2015-04-03,2035.83,2045.94,2031.27,2045.42,498635000
2015-04-06,2049.87,2055.45,2043.26,2046.43,460493000
2015-04-07,2059.05,2059.09,2043.79,2047.03,436232000
2015-04-08,2048.75,2060.19,2046.09,2059.26,552684000
2015-04-09,2060.3,2064.46,2054.17,2058.87,529861000
2015-04-10,2066.32,2089.09,2065.39,2087.76,658383000
2015-04-13,2094.1,2099.97,2088.82,2098.92,561806000
2015-04-14,2101.76,2111.73,2095.97,2111.72,648846000
2015-04-15,2114.56,2122.72,2110.25,2119.96,451397000
